subject,age,gender,educ,ses,engL1,answer,rating,condition,task,play_type,explanation
13,62,m,Two-year college degree,In the middle,"Yes, English is my first language.",Inky the octopus put the old squeeze on the New Zealand Aquarium!,more,Baseline,Inky the Octopus,wp,old squeeze
13,62,m,Two-year college degree,In the middle,"Yes, English is my first language.","Woman wants to ""Ice out"" Starbucks in lawsuit over drinks!",more,Baseline,Starbucks Ice,wp,ice out
14,29,f,Four-year college degree,Near the top,"Yes, English is my first language.",I'd love to know more about how they determined that's what happened to Inky! Are they sure he wasn't Octopus-napped?,more,Baseline,Inky the Octopus,wp,napped
15,31,f,Four-year college degree,In the middle,"Yes, English is my first language.",Starbucks has found themselves in some shallow water with a Chicago customer!,more,Baseline,Starbucks Ice,wp,shallow water
17,25,m,Completed High School,On the bottom,"Yes, English is my first language.",Inky blotted his way to freedom.,more,Baseline,Inky the Octopus,wp,blotted
18,29,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Starbucks is in hot coffee after a woman filed a whopping $5 million lawsuit claiming false advertising on 24-ounces iced drinks that allegedly only contained 14 ounces of liquid.,more,Baseline,Starbucks Ice,wp,hot
19,26,m,Four-year college degree,In the middle,"Yes, English is my first language.","You might say, ""The price is in the ice.""",more,Baseline,Starbucks Ice,wp,price/ice
22,33,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Starbucks has found itself in a 5 million dollar icy situation when a woman sued them for claiming false advertising of 24 ounce drinks that have too much ice.,more,Baseline,Starbucks Ice,wp,icy
22,33,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Aquarium workers might end up in a tangled situation if they don't find Inky!,more,Baseline,Inky the Octopus,wp,tangled
24,22,f,Completed High School,On the bottom,"Yes, English is my first language.",Oh wow I guess this gives a new meaning to walking on thin ice.,more,Baseline,Starbucks Ice,wp,thin ice
32,36,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",I only have one thing to say about that...that's just cold.,more,Baseline,Starbucks Ice,wp,cold
39,25,m,Four-year college degree,In the middle,"Yes, English is my first language.",Well I suppose she is giving starbucks a chilling revelation about false advertising.,more,Baseline,Starbucks Ice,wp,chilling
42,36,m,Four-year college degree,In the middle,"Yes, English is my first language.",The Kiwis of New Zealand have an inky situation on their hands with Inky the Octopus having escaped the national aquarium.,more,Metaphor,Inky the Octopus,wp,inky
